id,created_at,text
5.50685E+17,1/1/15 16:06,Yes
5.50361E+17,12/31/14 18:40,Yes
5.49988E+17,12/30/14 17:57,Yes
5.49721E+17,12/30/14 0:16,No
5.49616E+17,12/29/14 17:19,Yes
5.49332E+17,12/28/14 22:30,No
5.48996E+17,12/28/14 0:18,No
5.48573E+17,12/26/14 20:14,No
5.48221E+17,12/25/14 20:57,No
5.47886E+17,12/24/14 22:47,No
5.47483E+17,12/23/14 20:04,No
5.47122E+17,12/22/14 20:08,Yes
5.46795E+17,12/21/14 22:30,No
5.46521E+17,12/21/14 4:22,No
5.4601E+17,12/19/14 18:30,No
5.45663E+17,12/18/14 19:33,No
5.45322E+17,12/17/14 20:59,No
5.45267E+17,12/17/14 17:19,No
5.4456E+17,12/15/14 18:28,Yes
5.44171E+17,12/14/14 16:43,Yes
5.43867E+17,12/13/14 20:35,No
5.43491E+17,12/12/14 19:43,No
5.43171E+17,12/11/14 22:31,
5.4316E+17,12/11/14 21:46,No
5.42809E+17,12/10/14 22:30,No
5.4275E+17,12/10/14 18:37,No
5.42409E+17,12/9/14 20:03,No
5.42084E+17,12/8/14 22:30,No
5.41715E+17,12/7/14 22:05,Yes
5.41359E+17,12/6/14 22:30,No
5.40943E+17,12/5/14 18:56,
5.40942E+17,12/5/14 18:51,No
5.40565E+17,12/4/14 17:57,No
5.4028E+17,12/3/14 23:04,Yes
5.40223E+17,12/3/14 19:14,Yes
5.39877E+17,12/2/14 20:20,Yes
5.39549E+17,12/1/14 22:39,Yes
5.39183E+17,11/30/14 22:25,Yes
5.38409E+17,11/28/14 19:07,No
5.38109E+17,11/27/14 23:17,No
5.37731E+17,11/26/14 22:14,No
5.37317E+17,11/25/14 18:48,
5.28941E+17,11/2/14 16:06,No
5.2677E+17,10/27/14 16:18,Yes
5.25018E+17,10/22/14 20:18,No
5.24967E+17,10/22/14 16:52,No
5.24277E+17,10/20/14 19:13,No
5.23912E+17,10/19/14 19:04,
5.2355E+17,10/18/14 19:03,No
5.23196E+17,10/17/14 19:36,No
5.23142E+17,10/17/14 16:04,No
5.22055E+17,10/14/14 16:03,No
5.21384E+17,10/12/14 19:37,No
5.20326E+17,10/9/14 21:34,No
5.19886E+17,10/8/14 16:22,No
5.1961E+17,10/7/14 22:08,No
5.1916E+17,10/6/14 16:18,Yes
5.18839E+17,10/5/14 19:04,No
5.18121E+17,10/3/14 19:32,Yes
5.17793E+17,10/2/14 21:45,No
5.17425E+17,10/1/14 21:23,No
5.1708E+17,9/30/14 22:35,No
5.16984E+17,9/30/14 16:13,No
5.16286E+17,9/28/14 17:59,No
5.16053E+17,9/28/14 2:33,No
5.15215E+17,9/25/14 19:03,No
5.14818E+17,9/24/14 16:46,No
5.1449E+17,9/23/14 19:03,No
5.14219E+17,9/23/14 1:07,No
5.13852E+17,9/22/14 0:46,No
5.13358E+17,9/20/14 16:04,No
5.13092E+17,9/19/14 22:28,Yes
5.12328E+17,9/17/14 19:50,No
5.1198E+17,9/16/14 20:47,No
5.11569E+17,9/15/14 17:35,No
5.10511E+17,9/12/14 19:32,Yes
5.10465E+17,9/12/14 16:29,Yes
5.10146E+17,9/11/14 19:21,Yes
5.10111E+17,9/11/14 17:02,Yes
5.09786E+17,9/10/14 19:28,
5.09783E+17,9/10/14 19:20,No
5.09372E+17,9/9/14 16:07,No
5.08692E+17,9/7/14 19:03,Yes
5.0834E+17,9/6/14 19:45,Yes
5.08284E+17,9/6/14 16:03,Yes
5.07928E+17,9/5/14 16:26,Yes
5.07691E+17,9/5/14 0:46,Yes
5.07565E+17,9/4/14 16:26,Yes
5.07326E+17,9/4/14 0:33,No
5.06881E+17,9/2/14 19:08,No
5.06519E+17,9/1/14 19:08,No
5.06155E+17,8/31/14 19:03,No
5.05405E+17,8/29/14 17:22,No
5.05023E+17,8/28/14 16:03,No
5.04774E+17,8/27/14 23:33,No
5.03984E+17,8/25/14 19:15,No
5.03211E+17,8/23/14 16:03,No
5.02948E+17,8/22/14 22:40,No
5.02594E+17,8/21/14 23:11,Yes
5.02232E+17,8/20/14 23:13,No
5.02145E+17,8/20/14 17:29,No
5.01859E+17,8/19/14 22:30,No
5.01807E+17,8/19/14 19:03,No
5.01463E+17,8/18/14 20:18,No
5.00403E+17,8/15/14 22:05,No
4.99995E+17,8/14/14 19:03,No
4.99682E+17,8/13/14 22:20,No
4.9934E+17,8/12/14 23:40,No
4.98979E+17,8/11/14 23:47,No
4.98138E+17,8/9/14 16:04,Yes
4.97945E+17,8/9/14 3:16,
4.97775E+17,8/8/14 16:04,No
4.97146E+17,8/6/14 22:24,No
4.9705E+17,8/6/14 16:03,No
4.96806E+17,8/5/14 23:52,Yes
4.96733E+17,8/5/14 19:03,Yes
4.96437E+17,8/4/14 23:26,Yes
4.96336E+17,8/4/14 16:45,Yes
4.95294E+17,8/1/14 19:42,Yes
4.94967E+17,7/31/14 22:05,Yes
4.94931E+17,7/31/14 19:43,Yes
4.94582E+17,7/30/14 20:36,Yes
4.94514E+17,7/30/14 16:05,Yes
4.94244E+17,7/29/14 22:13,Yes
4.93881E+17,7/28/14 22:08,Yes
4.93433E+17,7/27/14 16:30,Yes
4.93123E+17,7/26/14 19:57,Yes
4.93068E+17,7/26/14 16:19,Yes
4.92759E+17,7/25/14 19:52,No
4.92709E+17,7/25/14 16:33,No
4.92395E+17,7/24/14 19:44,
4.92394E+17,7/24/14 19:41,No
4.91739E+17,7/23/14 0:18,No
4.9166E+17,7/22/14 19:03,No
4.9138E+17,7/22/14 0:32,No
4.90918E+17,7/20/14 17:56,No
4.90528E+17,7/19/14 16:05,No
4.90311E+17,7/19/14 1:44,Yes
4.90168E+17,7/18/14 16:13,No
4.89922E+17,7/17/14 23:58,No
4.89861E+17,7/17/14 19:57,No
4.89531E+17,7/16/14 22:05,Yes
4.89486E+17,7/16/14 19:05,Yes
4.89452E+17,7/16/14 16:51,Yes
4.89139E+17,7/15/14 20:07,No
4.88822E+17,7/14/14 23:05,Yes
4.88784E+17,7/14/14 20:34,Yes
4.88733E+17,7/14/14 17:14,No
4.88401E+17,7/13/14 19:14,
4.88137E+17,7/13/14 1:45,Yes
4.87775E+17,7/12/14 1:47,Yes
4.87717E+17,7/11/14 21:55,Yes
4.87633E+17,7/11/14 16:22,Yes
4.874E+17,7/11/14 0:56,Yes
4.87048E+17,7/10/14 1:39,Yes
4.86981E+17,7/9/14 21:12,Yes
4.86915E+17,7/9/14 16:50,Yes
4.86632E+17,7/8/14 22:05,Yes
4.8627E+17,7/7/14 22:06,Yes
4.86227E+17,7/7/14 19:13,No
4.86222E+17,7/7/14 18:56,No
4.85908E+17,7/6/14 22:06,Yes
4.85907E+17,7/6/14 22:05,Yes
4.85907E+17,7/6/14 22:05,Yes
